Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,I,N,NS,P,PI,S,SI,U,W,WF,WN,
AAE,AAE-Aero & Astro Engineering,20000,Ugrad Sophomore Seminar,202320,Spring 2023,1,26216,"Marais, Karen",,,,,,,,,,,,,,,,,,,,,97.20%,,2.80%,,,,
,,20300,Aeromechanics I,202320,Spring 2023,1,10001,"Hassan, Hashim",14.30%,,,,28.60%,,,28.60%,,,10.20%,,,,14.30%,,,,,,,,,4.10%,,,
,,,,,,2,10018,"Cunningham, Thomas F.",27.30%,,,,27.30%,,,31.80%,,,13.60%,,,,,,,,,,,,,,,,
,,20400,Aeromechanics II,202320,Spring 2023,2,42578,"Zhang, Dianyun",21.20%,,4.00%,,24.20%,,18.20%,10.10%,,18.20%,1.00%,,1.00%,,2.00%,,,,,,,,,,,,
,,,,,,3,13056,"Hassan, Hashim",36.00%,,7.00%,,19.00%,,25.00%,4.00%,,6.00%,,,1.00%,,1.00%,1.00%,,,,,,,,,,,
,,,,,,4,23944,"De Camargo Branco, Danilo",21.00%,,3.00%,,25.00%,,22.00%,12.00%,,11.00%,2.00%,,3.00%,,1.00%,,,,,,,,,,,,
,,,,,,5,15208,"De Camargo Branco, Danilo",15.10%,,,,26.70%,,20.90%,14.00%,,11.60%,4.70%,,4.70%,,2.30%,,,,,,,,,,,,
,,20401,Aeromechanics II Lab,202320,Spring 2023,1,10003,"Mishra, Ritik K.",96.00%,,,,4.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,10004,"Vajja, Jaya Vikeswara Rao",83.30%,,,,8.30%,,,4.20%,,,,,,,4.20%,,,,,,,,,,,,
,,,,,,6,10008,"Mishra, Ritik K.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,9,10011,"Ravva, Saranya",88.00%,,,,8.00%,,,4.00%,,,,,,,,,,,,,,,,,,,
,,,,,,11,37250,"Samson, Tarith G.",60.00%,4.00%,36.00%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,13,43648,"Sun, Yao",84.00%,,,,8.00%,,,4.00%,,,,,,,,,,,,,,,,4.00%,,,
,,,,,,14,43649,"Fretti, Gregory L.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,47686,"O'Meara, Joshua P.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,16,55436,"Hu, Hanyao",96.00%,,,,4.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,17,18954,"Fretti, Gregory L.",92.00%,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,18957,"Zhou, Shijun",96.00%,,,,4.00%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,19,23081,"Lokhande, Monish M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,26753,"Zhou, Shijun",68.00%,,,,28.00%,,,4.00%,,,,,,,,,,,,,,,,,,,
,,,,,,22,26755,"Bhattacharjee, Priyankar",95.20%,,,,4.80%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,23,26756,"Lokhande, Monish M.",100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,
