0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
,20007,Elec Engr Fundamentals I Lab,202320,Spring 2023,1,19654,"Manning, Benjamin T.",27.50%,7.50%,45.00%,,2.50%,5.00%,12.50%,,,,,,,,,,,,,,,,,,,,
,,,,,2,19657,"Manning, Benjamin T.",30.00%,32.50%,7.50%,,7.50%,10.00%,12.50%,,,,,,,,,,,,,,,,,,,,
,,,,,4,19665,"Manning, Benjamin T.",25.60%,15.40%,38.50%,,5.10%,2.60%,10.30%,,,,,,,,2.60%,,,,,,,,,,,,
,,,,,6,19667,"Manning, Benjamin T.",22.50%,15.00%,25.00%,,12.50%,2.50%,20.00%,2.50%,,,,,,,,,,,,,,,,,,,
,,,,,9,19671,"Manning, Benjamin T.",22.00%,14.60%,51.20%,,,,7.30%,,,2.40%,,,,,,,,,,,,,,2.40%,,,
,,,,,11,19674,"Manning, Benjamin T.",27.50%,17.50%,40.00%,,5.00%,,5.00%,,,2.50%,2.50%,,,,,,,,,,,,,,,,
,,,,,12,19675,"Manning, Benjamin T.",17.90%,23.10%,20.50%,,7.70%,,15.40%,,2.60%,2.60%,,,2.60%,,,2.60%,,,,,,,,5.10%,,,
,,,,,13,13871,"Manning, Benjamin T.",12.50%,25.00%,27.50%,,10.00%,5.00%,12.50%,2.50%,,,,,,,2.50%,,,,,,,,,2.50%,,,
,,,,,14,23030,"Manning, Benjamin T.",15.00%,32.50%,2.50%,,12.50%,7.50%,15.00%,2.50%,2.50%,,,2.50%,2.50%,,2.50%,,,,,,,,,2.50%,,,
,,,,,15,23031,"Manning, Benjamin T.",13.90%,27.80%,33.30%,,5.60%,2.80%,11.10%,,,,,,,,2.80%,,,,,,,,,2.80%,,,
,,,,,16,23032,"Manning, Benjamin T.",38.50%,12.80%,43.60%,,2.60%,2.60%,,,,,,,,,,,,,,,,,,,,,
,,,,,17,23035,"Manning, Benjamin T.",20.50%,15.40%,23.10%,,17.90%,7.70%,10.30%,,,5.10%,,,,,,,,,,,,,,,,,
,,,,,18,23037,"Manning, Benjamin T.",25.60%,7.70%,43.60%,,2.60%,10.30%,10.30%,,,,,,,,,,,,,,,,,,,,
,,,,,19,23045,"Manning, Benjamin T.",22.50%,17.50%,35.00%,,5.00%,,12.50%,,2.50%,2.50%,,,2.50%,,,,,,,,,,,,,,
,,,,,20,26653,"Manning, Benjamin T.",17.50%,35.00%,17.50%,,7.50%,,15.00%,,,,,,5.00%,,2.50%,,,,,,,,,,,,
,,,,,21,26654,"Manning, Benjamin T.",22.50%,12.50%,40.00%,,5.00%,,15.00%,,,2.50%,,,,,,,,,,,,,,2.50%,,,
